Year,always_permissive,always_restrictive
2000.0,12.742857142857144,7.266666666666666
2001.0,14.0,7.2444444444444445
2002.0,13.585714285714285,7.51111111111111
2003.0,13.428571428571429,7.077777777777778
2004.0,12.714285714285714,7.311111111111111
2005.0,13.671428571428573,6.966666666666667
2006.0,12.599999999999998,7.166666666666667
2007.0,13.414285714285715,7.011111111111111
2008.0,13.671428571428573,7.133333333333334
2009.0,13.9,7.033333333333333
2010.0,13.557142857142859,7.322222222222223
2011.0,14.285714285714286,7.033333333333333
2012.0,14.700000000000001,7.022222222222222
2013.0,15.0,7.188888888888889
2014.0,14.957142857142857,7.0
2015.0,16.314285714285713,7.677777777777777
2016.0,16.599999999999998,7.866666666666666
2017.0,17.857142857142858,7.7555555555555555
2018.0,16.857142857142858,7.7444444444444445
2019.0,17.400000000000002,7.3999999999999995
2020.0,19.942857142857143,8.766666666666667
