State,Area_km2,Density_2000,Density_2010,Density_2020
United States,,,,
Alabama,131186.53142634,33.8990592376246,36.434654899644,38.29874107786046
Alaska,1479894.5233694697,0.4236328941690938,0.47992001374727983,0.49556977772320737
Arizona,294366.46599555,17.429403796550524,21.714487682495157,24.29455398668988
Arkansas,134658.74713005,19.853147730671356,21.654129881246263,22.36411717904628
California,403676.87480601,83.90782359350477,92.28657454778076,97.94522665931854
Colorado,268419.60688686,16.02439199537685,18.736321308002765,21.51003075730472
Connecticut,12542.11204467,271.530423892781,284.967714151372,287.5069196605058
Delaware,5046.71206455,155.26940906819326,177.92455533721161,196.15702012281747
District of Columbia,158.31831873,3613.3468608620315,3800.7162078710135,4355.434074410348
Florida,138973.92169907998,115.00271277230428,135.28660463874976,154.98006199059853
Georgia,149487.83588466,54.763338779727896,64.8056274456651,71.65738895481077
Hawaii,16634.449054079996,72.83301034264441,81.77613791581234,87.48537419356609
Idaho,214050.84760565998,6.045073002391535,7.32340944936557,8.59191178438188
Illinois,143779.47979473,86.37736774211928,89.2382697330519,89.11221558383758
Indiana,92786.85535820998,65.53174990709485,69.87845395739343,73.13027231932806
Iowa,144660.50115308998,20.228908213881805,21.058650949758093,22.05418185731104
Kansas,211754.45110208998,12.695922026705704,13.473709691346555,13.873994075258443
Kentucky,102267.87376182,39.52139466019609,42.43137986916894,44.05915400660436
Louisiana,111927.24146681999,39.927509527024256,40.50284756945327,41.61414986163809
Maine,79888.96156721999,15.9586878460957,16.627591270945405,17.053156947767896
Maryland,25151.317780289995,210.5848308334217,229.5526640168526,245.60239960233116
Massachusetts,20204.491270079998,314.2418641048447,324.0679961933075,347.93833242464837
Michigan,146626.06010402998,67.78088419581591,67.40711707719377,68.72810326384148
Minnesota,206245.59417189,23.852528921902636,25.71654934640486,27.66844073887984
Mississippi,121534.70577221998,23.40613721755702,24.415223463504326,24.36570674347146
Missouri,178052.33054661,31.42453110736061,33.635768662023985,34.56800021153773
Montana,376973.81372702995,2.3932564203339792,2.6246252762703675,2.8761281567029395
Nebraska,198950.71639755,8.601441758975609,9.179866416517667,9.859245724355459
Nevada,284537.29336616996,7.022829859523724,9.491026529603875,10.91109697175858
New Hampshire,23190.752330069998,53.28787882390662,56.76702425444886,59.399927194851905
New Jersey,19049.45673969,441.71075926110274,461.52990713283066,487.6251394952466
New Mexico,314198.77311263996,5.789475184703773,6.553746151204054,6.73943433649523
New York,122049.43779483,155.48172398712876,158.77256257890647,165.51693612844912
North Carolina,125935.64527010999,63.916081763313535,75.71710915958744,82.89462429488755
North Dakota,178694.53928703,3.593842333192171,3.7639146819122637,4.3599205835191865
Ohio,105824.58011931,107.28263686187186,109.01535339893036,111.50006913986265
Oklahoma,177665.08042179,19.42224094801237,21.114734482960955,22.285487900043183
Oregon,248630.93333129998,13.760954657403776,15.408678029998404,17.042352466874544
Pennsylvania,115882.10698700999,105.97886351321405,109.61467072240839,112.20627876103048
Rhode Island,2677.77253107,391.4891903014281,393.0755834512236,409.81038802481964
South Carolina,77866.05246770999,51.52453312903884,59.40154731637483,65.73371627029047
South Dakota,196342.13803931998,3.844533871016689,4.146741031397704,4.515928210084143
Tennessee,106771.74464229,53.28453720654666,59.436183432807226,64.72536365452218
Texas,676660.6786204199,30.815770235848227,37.1612564384071,43.072556040085026
Utah,213921.85833368998,10.439181004666432,12.92006820401075,15.293509627691758
Vermont,23872.683747119998,25.503081532399932,26.21159005951685,26.93777569426315
Virginia,102256.5347856,69.22310652166567,78.24462286714142,84.40920688440434
Washington,172121.82065442,34.243891783099386,39.06849215533973,44.76643908775742
West Virginia,62266.70327709,29.04191011932617,29.758986785506895,28.80698520391986
Wisconsin,140295.22063752,38.23134512798621,40.53584986115411,42.00939970170165
Wyoming,251458.38397445998,1.9636728439730697,2.241428546113802,2.2940217418186757
